"position","block","line","pop","survival","leaf","nod","plant_ID","shoot","root","choice","totalred","env","dataset","diss","flo","fru"
"52","4","F219","F2",1,11,215,"1513-52",24,10.8,0.595348837209302,128,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","WT18","WT",1,9,102,"872-31",21.2,10.9,0.333333333333333,34,"GH","ESC-greenhouse","Simonsen",NA,NA
"28","3","DE15","DE",1,11,96,"790-28",24.5,11,0.458333333333333,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"17","2","KA7","KA",1,11,187,"477-17",23.3,11.1,0.3475935828877,65,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","F217","F2",1,10,126,"939-33",16,11.3,0.531746031746032,67,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","HTR30","HTR",1,10,280,"2096-72",22.6,11.7,0.403571428571429,113,"GH","ESC-greenhouse","Simonsen",NA,NA
"93","8","F217","F2",1,9,168,"2715-93",29.9,11.7,0.75,126,"GH","ESC-greenhouse","Simonsen",NA,NA
"41","4","AC3","AC",1,10,145,"1180-41",23.9,11.9,0.703448275862069,102,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","AC20","AC",1,9,148,"417-15",32,12.2,0.689189189189189,102,"GH","ESC-greenhouse","Simonsen",NA,NA
"85","7","DE15","DE",1,11,146,"2481-85",42.5,12.3,0.712328767123288,104,"GH","ESC-greenhouse","Simonsen",NA,NA
"31","3","HTD28","HTD",1,8,84,"894-31",28,12.8,0.904761904761905,76,"GH","ESC-greenhouse","Simonsen",NA,NA
"53","5","HTR30","HTR",1,11,156,"1559-53",37,12.8,0.621794871794872,97,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","KA16","KA",1,10,56,"957-33",24,12.9,0.785714285714286,44,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","HTD28","HTD",1,10,63,"90-3",31,12.9,0.857142857142857,54,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","AC20","AC",1,10,270,"2450-83",46.6,12.9,0.625925925925926,169,"GH","ESC-greenhouse","Simonsen",NA,NA
"83","7","KA16","KA",1,10,187,"2435-83",44.9,12.98,0.737967914438503,138,"GH","ESC-greenhouse","Simonsen",NA,NA
"53","5","WR31","WR",1,10,156,"1544-53",49,13.1,0.474358974358974,74,"GH","ESC-greenhouse","Simonsen",NA,NA
"25","3","WR40a","WR",1,10,174,"702-25",42,13.2,0.568965517241379,99,"GH","ESC-greenhouse","Simonsen",NA,NA
"15","2","DE7","DE",1,8,138,"429-15",27.2,13.28,0.72463768115942,100,"GH","ESC-greenhouse","Simonsen",NA,NA
"5","1","RBE34","RBE",1,11,102,"143-5",36,14,0.686274509803922,70,"GH","ESC-greenhouse","Simonsen",NA,NA
"3","1","WR40a","WR",1,9,124,"75-3",39,14.1,0.540322580645161,67,"GH","ESC-greenhouse","Simonsen",NA,NA
"72","6","F217","F2",1,10,143,"2099-72",32.4,15,0.559440559440559,80,"GH","ESC-greenhouse","Simonsen",NA,NA
"92","8","WR34","WR",1,11,196,"2681-92",28.1,15.1,0.566326530612245,111,"GH","ESC-greenhouse","Simonsen",NA,NA
"33","3","HTD2","HTD",1,11,167,"951-33",33,15.9,0.682634730538922,114,"GH","ESC-greenhouse","Simonsen",NA,NA
"22","2","WR40a","WR",1,10,217,"622-22",39.5,16.1,0.63594470046083,138,"GH","ESC-greenhouse","Simonsen",NA,NA
